Ville,Type_de_Bien,Titre,Prix,Prix_m2,Surface_m2,Pro_ou_Part,Date_Annonce,URL,Description
Nice,Appartement,Vente Appartement à vendre Nice (06000) 2 pièces 36 m²,239000,6638.888888888889,36.0,Pro,2026-02-07 21:11:00,https://www.bienici.com/annonce/apimo-86723004,"Superbe 2 p dans résidence récente avec ascenseur, cuisine équipée, très bon état, climatisation réversible, double vitrage, balcon 8m2, cave, ..."
Nice,Appartement,Vente Appartement à vendre Nice (06000) 3 pièces 53 m²,360000,6792.452830188679,53.0,Pro,2026-02-07 20:30:00,https://www.seloger.com/260410999/detail.htm,"// Nice - Carré d'Or // Idéalement situé au coeur du très prisé Carré d'Or à Nice, dans un charmant immeuble niçois datant des années 1880, ..."
Nice,Appartement,Vente Appartement à vendre Nice (06000) 4 pièces 83 m²,595000,7168.674698795181,83.0,Pro,2026-02-07 20:30:00,https://www.bienici.com/annonce/apimo-86619110,"// Nice - Parc Impérial // Idéalement situé dans le très prisé quartier du Parc Impérial à Nice, à proximité immédiate du centre-ville, de ..."
Nice,Appartement,Vente Appartement à vendre Nice (06000) 3 pièces 37 m²,279000,7540.540540540541,37.0,Pro,2026-02-07 17:30:00,https://www.seloger.com/260402155/detail.htm,"Situé dans une copropriété bien entretenue, à seulement 5 minutes à pied des plages, venez découvrir ce bel appartement 3 pièces idéalement ..."
Nice,Appartement,Vente Appartement à vendre Nice (06000) 2 pièces 45 m²,240000,5333.333333333333,45.0,Particulier,2026-02-07 16:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141052809,"Agréable rez de jardin surélevé dans résidence sécurisée. Lumineux, calme total, vue dégagée sur parc . Jardin 40 m2 Cave Proche ..."
Nice,Appartement,Vente Appartement à vendre Nice (06000) 2 pièces 39 m²,289000,7410.25641025641,39.0,Particulier,2026-02-07 16:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141044407,"Je vends actuellement mon appartement T2 en rez-de-jardin, Superficie 39m, jardin 36 m, terrasse 14,34, prestations modernes et cuisine ..."
Nice,Appartement,Vente Appartement à vendre Nice (06000) 3 pièces 50 m²,350000,7000.0,50.0,Pro,2026-02-07 15:30:00,https://www.seloger.com/260388633/detail.htm,Dans une résidence des années 70 avec parc 3p de 50m² rénové avec balcon au calme sur jardin de la copropriété. Appartement d'angle EST et SUD ...
Nice,Appartement,Vente Appartement à vendre Nice (06000) 4 pièces 86 m²,550000,6395.348837209303,86.0,Particulier,2026-02-07 14:30:00,https://www.seloger.com/26I3AR9SVDWX/detail.htm,"✨ NICE - PARC CHAMBRUN | Appartement bourgeois avec vue mer panoramique ✨ Au coeur du très recherché quartier résidentiel du Parc Chambrun, ..."
Nice,Appartement,Vente Appartement à vendre Nice (06000) 3 pièces 74 m²,329000,4445.945945945946,74.0,Pro,2026-02-07 14:30:00,https://www.seloger.com/260390591/detail.htm,"Situé dans le quartier très recherché de Libération, cet appartement bénéficie d'un emplacement privilégié, à proximité immédiate de toutes ..."
Nice,Appartement,Vente Appartement à vendre Nice (06000) 3 pièces 67 m²,330000,4925.373134328358,67.0,Pro,2026-02-07 12:30:00,https://www.citya.com/annonces/vente/appartement/nice-06088/TAPP962230,NICE CENTRE - NICE ACROPOLIS - 3 PIÈCES TRAVERSANT DE 67m² AVEC TERRASSE Idéalement situé au coeur du secteur d'Acropolis actuellement en plein ...
Nice,Appartement,Vente Appartement à vendre Nice (06000) 3 pièces 58 m²,430000,7413.793103448276,58.0,Pro,2026-02-07 12:30:00,https://www.efficity.com/achat-immobilier/appartement_58-m2_nice_06000_29037191/,"""06000 - NICE CENTRE - FLEURS / GAMBETTA proche CARRE D'OR / RUE DE FRANCE - APPARTEMENT DIVISE en 2 PIÈCES + 1 STUDIO - IDEAL AIRBNB - APPARTEMENT ..."
Nice,Appartement,Vente Appartement à vendre Nice (06000) 1 pièces 36 m²,210000,5833.333333333333,36.0,Pro,2026-02-07 12:30:00,https://www.properstar.fr/listing/113773349,"Nice Promenade Grand Studio vendu loué NICE / PROMENADE DES ANGLAIS : RESIDENCE STANDING avec ASCENSEUR, en ETAGE ELEVE, GRAND STUDIO de 35,69m² ..."
Nice,Appartement,Vente Appartement à vendre Nice (06000) 2 pièces 34 m²,129000,3794.117647058824,34.0,Pro,2026-02-07 11:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140844830,"Nice Pasteur proche tramway: Idéal investisseur, appartement 2 pièces avec balcon dans une résidence bien tenue, loué jusqu'en septembre 2027. Bon ..."
