Ville,Type_de_Bien,Titre,Prix,Prix_m2,Surface_m2,Pro_ou_Part,Date_Annonce,URL,Description
Toulouse,Maison,Vente Maison à vendre Toulouse (31000) 5 pièces 90 m²,424000,4711.111111111111,90.0,Pro,2026-02-07 20:30:00,https://www.orpi.com/annonce-vente-maison-t5-toulouse-31500-d1fcc559-b0f3-4c08-a269-b1c5263f2d6c,"Toulouse Soupetard belle Maison T5 avec jardin et garage. Dans un secteur résidentiel, calme et recherché du 31500, cette maison T5 des années 60 ..."
Toulouse,Maison,Vente Maison à vendre Toulouse (31000) 5 pièces 200 m²,790000,3950.0,200.0,Particulier,2026-02-07 15:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141008385,"EXCLUSIVITÉ. À deux pas du Jardin des Plantes, venez découvrir cette élégante maison du XIXe siècle développant une surface totale d'environ ..."
Toulouse,Maison,Vente Maison à vendre Toulouse (31000) 3 pièces 110 m²,545000,4954.545454545455,110.0,Pro,2026-02-07 14:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140985827,"Coup de coeur : maison basquaise rénovée, lumineuse, avec jardin - Rangueil TOULOUSE - 31400 | Quartier Rangueil Charmante maison basquaise ..."
Toulouse,Maison,Vente Maison à vendre Toulouse (31000) 5 pièces 103 m²,337900,3280.5825242718447,103.0,Pro,2026-02-07 10:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140205154,"Basque de 5 pièces principales Au calme, dans le quartier résidentiel et très prisé de Croix Daurade, proche commerces, écoles et L9. Venez ..."
Toulouse,Maison,Vente Maison à vendre Toulouse (31000) 5 pièces 133 m²,605000,4548.872180451128,133.0,Particulier,2026-02-06 23:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140691296,"Au coeur du quartier Bonnefoy Professionnels s'abstenir svp Sur une parcelle de 140m2, maison des années 30 totalement rénovée au calme, d'une ..."
Toulouse,Maison,Vente Maison à vendre Toulouse (31000) 6 pièces 250 m²,790000,3160.0,250.0,Pro,2026-02-06 23:30:00,https://www.seloger.com/260341483/detail.htm,"EXCLUSIVITÉ. À deux pas du Jardin des Plantes, venez découvrir cette élégante maison du XIX? siècle développant une surface totale d'environ ..."
Toulouse,Maison,Vente Maison à vendre Toulouse (31000) 5 pièces 153 m²,580000,3790.849673202614,153.0,Pro,2026-02-06 21:30:00,https://www.bienici.com/annonce/safti-1-1597993,"Dans le quartier Lalande 31200 à Toulouse, découvrez cette belle maison de 153 m² entièrement rénovée en 2016. Dès l'entrée, vous serez ..."
Toulouse,Maison,Vente Maison à vendre Toulouse (31000) 6 pièces 216 m²,779500,3608.796296296296,216.0,Pro,2026-02-06 21:30:00,https://www.orpi.com/annonce-vente-maison-t6-toulouse-31200-ade2dc3c-4c36-4935-919e-6421377b803c,"Contemporaine T6 de 2010, garage, carport, piscine, et T2 indépendant. En exclusivité, située sur Toulouse coté Balma/L'union au fond d'une ..."
Toulouse,Maison,Vente Maison à vendre Toulouse (31000) 9 pièces 180 m²,620000,3444.4444444444443,180.0,Particulier,2026-02-06 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140607636,"Située dans le quartier recherché de Pouvourville, au calme et à seulement 10 minutes du centre de Toulouse, cette maison de 180 m² avec jardin, ..."
Toulouse,Maison,Vente Maison à vendre Toulouse (31000) 6 pièces 198 m²,995000,5025.252525252526,198.0,Pro,2026-02-06 21:30:00,https://www.seloger.com/260317145/detail.htm,TOULOUSE - COTE PAVEE. Accès immédiat centre ville de TOULOUSE Magnifique villa T6 familiale de 198m² en plein coeur du quartier de la Côte ...
Toulouse,Maison,Vente Maison à vendre Toulouse (31000) 3 pièces 80 m²,374000,4675.0,80.0,Pro,2026-02-06 21:30:00,https://www.orpi.com/annonce-vente-maison-t3-toulouse-31400-06bbed73-acf5-4eed-a7ac-d50968958d39,"TOULOUSE - Ponts des Demoiselles. Située dans le quartier des Ponts des Demoiselles, cette maison construite en 1950 offre un beau potentiel et de ..."
Toulouse,Maison,Vente Maison à vendre Toulouse (31000) 3 pièces 68 m²,170000,2500.0,68.0,Pro,2026-02-06 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140523070,"Toulouse entre Borderouge et Croix Daurade, à 800m du Mo Borderouge, decouvrez cette maison récente nichée dans une copropriété sécurisée. ..."
Toulouse,Maison,Vente Maison à vendre Toulouse (31000) 3 pièces 50 m²,270000,5400.0,50.0,Pro,2026-02-06 21:30:00,https://www.bienici.com/annonce/hektor-immodupalais31-2915,"Rare sur le secteur, à deux pas de la Médiathèque, cette maison indiviuelle (mitoyenne d'un côté) offre un beau projet de rénovation ou ..."
Toulouse,Maison,Vente Maison à vendre Toulouse (31000) 3 pièces 80 m²,465000,5812.5,80.0,Particulier,2026-02-06 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140370482,"Idéalement située dans le quartier très recherché de la Côte Pavée à Toulouse, cette maison sur le toit entièrement rénovée prend place au ..."
Toulouse,Maison,Vente Maison à vendre Toulouse (31000) 3 pièces 79 m²,282000,3569.6202531645567,79.0,Pro,2026-02-06 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140378241,Quartier Soupetard à proximité de BALMA - Petite toulousaine de 79 m2 - Belle pièce de vie lumineuse avec cuisine plein Sud - 2 grandes chambres - ...
