Ville,Type_de_Bien,Titre,Prix,Prix_m2,Surface_m2,Pro_ou_Part,Date_Annonce,URL,Description
Toulouse,Appartement,Vente Appartement à vendre Toulouse (31000) 2 pièces 39 m²,145000,3717.948717948718,39.0,Particulier,2026-02-07 17:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140952480,"- QUARTIER MINIMES / BARRIÈRE DE PARIS - T1BIS de 39m2 dans une résidence bien entretenue et sécurisée, comprenant une cuisine équipée ouverte ..."
Toulouse,Appartement,Vente Appartement à vendre Toulouse (31000) 2 pièces 39 m²,262000,6717.948717948718,39.0,Pro,2026-02-07 17:30:00,https://www.orpi.com/annonce-vente-appartement-t2-toulouse-31500-705657c8-1fe5-4fd6-9157-2b9e8ec27e88,Toulouse Marengo superbe appartement de type 2 en dernier étage avec terrasse. Toulouse Marengo superbe appartement de type 2 en dernier étage avec ...
Toulouse,Appartement,Vente Appartement à vendre Toulouse (31000) 2 pièces 51 m²,179000,3509.803921568628,51.0,Particulier,2026-02-07 17:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141069397,"VENTE ENTRE PARTICULIERS - APPARTEMENT T2 - RANGUEIL, TOULOUSE 31400 Situé dans une résidence calme construite en1965 avec jardin et piscine. Je ..."
Toulouse,Appartement,Vente Appartement à vendre Toulouse (31000) 3 pièces 62 m²,198000,3193.548387096774,62.0,Pro,2026-02-07 16:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141029287,"Exclusivité Situé dans un quartier prisé de Toulouse Saint Martin du Touch, venez découvrir cet appartement T3 au 2ème et dernier étage d'une ..."
Toulouse,Appartement,Vente Appartement à vendre Toulouse (31000) 3 pièces 56 m²,175000,3125.0,56.0,Particulier,2026-02-07 15:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3141011650,"​🌟 Appartement T3 de Charme avec Terrasse et Piscine - Toulouse Saint-Simon​Découvrez cet agréable appartement T3 de 56 m², idéalement ..."
Toulouse,Appartement,Vente Appartement à vendre Toulouse (31000) 4 pièces 92 m²,263000,2858.695652173913,92.0,Pro,2026-02-07 15:30:00,https://www.seloger.com/260388349/detail.htm,MALEPERE proche de Saint ORENS et du parc de la MARCAISSONNE dans jolie résidence labélisée de grand standing beau T4 duplex 92m² avec jardin et ...
Toulouse,Appartement,Vente Appartement à vendre Toulouse (31000) 3 pièces 93 m²,299000,3215.05376344086,93.0,Pro,2026-02-07 15:30:00,https://www.seloger.com/260388281/detail.htm,"CROIX DAURADE prés du coeur commerçant (écoles, lycée ..) dans jolie rue résidentielle . vaste T3 93 m² utiles (73m² habitables) + belle ..."
Toulouse,Appartement,Vente Appartement à vendre Toulouse (31000) 5 pièces 130 m²,680000,5230.769230769231,130.0,Pro,2026-02-07 15:30:00,https://www.seloger.com/260392661/detail.htm,"Venez découvrir ce sublime appartement traversant de type 4/5, développant environ 130 m² habitables, offrant de très beaux volumes et un cadre de ..."
Toulouse,Appartement,Vente Appartement à vendre Toulouse (31000) 2 pièces 53 m²,200000,3773.5849056603774,53.0,Pro,2026-02-07 12:30:00,https://www.seloger.com/260376441/detail.htm,"À VENDRE Appartement T2 52,45 m² avec balcon, piscine Toulouse Ponts Jumeaux (31200) Toulouse Quartier Ponts Jumeaux Dans une résidence récente ..."
Toulouse,Appartement,Vente Appartement à vendre Toulouse (31000) 4 pièces 70 m²,325000,4642.857142857143,70.0,Pro,2026-02-07 12:30:00,https://www.orpi.com/annonce-vente-appartement-t4-toulouse-31000-1d547cb6-34c9-4bb2-9f5a-6c659df9e958,APPARTEMENT TYPE T4 BIS - DOUBLE EXPOSITION - TRAVERSANT - LUMINEUX - HYPERCENTRE. CLIMATISÉ - DOUBLE EXPOSITION - BALCON - CALME - VISITE VIRTUELLE ...
Toulouse,Appartement,Vente Appartement à vendre Toulouse (31000) 3 pièces 72 m²,359500,4993.055555555556,72.0,Pro,2026-02-07 11:30:00,https://www.orpi.com/annonce-vente-appartement-t3-toulouse-31000-8f5d5a6d-4ff1-4e73-b40d-5e2f1a9bf115,APPARTEMENT TYPE 3 D'ARCHITECTE - LUMINEUX - CHARMANTE COPROPIÉTÉ - HYPERCENTRE. EXCLUSIVITÉ - ENTIÈREMENT RÉNOVÉ PAR ARCHITECTE - CHALETS - ...
Toulouse,Appartement,Vente Appartement à vendre Toulouse (31000) 5 pièces 125 m²,1069000,8552.0,125.0,Pro,2026-02-07 11:30:00,https://www.bellesdemeures.com/annonces/vente/tt-2-tb-1-pl-48414/260368107/,"Toulouse Jean Rieux, Bel appartement familial en dernier étage étage d'une petite copropriété au coeur d'un bois classé. En duplex l'appartement ..."
Toulouse,Appartement,Vente Appartement à vendre Toulouse (31000) 3 pièces 73 m²,320000,4383.561643835616,73.0,Pro,2026-02-07 10:30:00,https://www.iadfrance.fr/annonce/appartement-vente-3-pieces-toulouse-73m2/r1932119,"Situé dans un environnement calme et verdoyant, entre le quartier très recherché de Saint-Agne, cet appartement T3 de 73 m² habitables se trouve ..."
Toulouse,Appartement,Vente Appartement à vendre Toulouse (31000) 1 pièces 26 m²,159000,6115.384615384615,26.0,Particulier,2026-02-07 09:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140752364,"Au calme en arrière cour d un petit immeuble toulousain, situé au 2e étage , ce T1 d'environ 26 m² offre une localisation exceptionnelle en plein ..."
Toulouse,Appartement,Vente Appartement à vendre Toulouse (31000) 4 pièces 76 m²,263000,3460.5263157894738,76.0,Pro,2026-02-07 05:30:00,https://www.bienici.com/annonce/century-21-202_3607_1763,"SPECIAL INVESTISSEUR LOT DE 2 APPARTEMENTS (T3 + T2) Toulouse Saint-Martin 31300 À env. 10 min à pied du site Airbus Transports, commerces et ..."
Toulouse,Appartement,Vente Appartement à vendre Toulouse (31000) 2 pièces 36 m²,212000,5888.888888888889,36.0,Pro,2026-02-07 03:30:00,https://www.seloger.com/260353887/detail.htm,"Au coeur du Quartier Compans Caffarelli, à deux pas du Canal du Midi, nous vous proposons ce charmant T2 de 36.50 m² situé au 2ème étage d'un ..."
Toulouse,Appartement,Vente Appartement à vendre Toulouse (31000) 2 pièces 41 m²,111000,2707.317073170732,41.0,Pro,2026-02-07 02:30:00,https://www.bienici.com/annonce/hektor-hektor-1_lequipeimmo-234,"Chemin de Rispet : à 15 minutes à pied du métro, venez découvrir cet appartement T2 de 41m2 située en rez-de-chaussée d'une résidence ..."
Toulouse,Appartement,Vente Appartement à vendre Toulouse (31000) 2 pièces 60 m²,215000,3583.333333333333,60.0,Pro,2026-02-06 23:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140681715,Cabinet OGP immobilier et patrimoine vous propose à la vente cet appartement T2 de 60m2 situé en hyper centre de Toulouse dans une belle ...
Toulouse,Appartement,Vente Appartement à vendre Toulouse (31000) 2 pièces 40 m²,245000,6125.0,40.0,Particulier,2026-02-06 22:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140650943,"A proximité immédiate du Musée des Abattoirs, du jardin Raymond VI et des bords de Garonne, à 400 m de la place intérieure Saint Cyprien (Métro, ..."
Toulouse,Appartement,Vente Appartement à vendre Toulouse (31000) 2 pièces 46 m²,137000,2978.260869565217,46.0,Pro,2026-02-06 21:30:00,https://www.safti.fr/annonces/vente/appartement/toulouse-31100/1600055,"St Simon centre, à proximité des commerces, Venez découvrir ce T2 situé dans une copropriété sécurisée et entretenue, il se compose d'une ..."
Toulouse,Appartement,Vente Appartement à vendre Toulouse (31000) 3 pièces 60 m²,169000,2816.6666666666665,60.0,Pro,2026-02-06 21:30:00,https://www.seloger.com/260325665/detail.htm,"Toulouse - Basso Cambo : Appartement T3 avec jardin et terrasse. Dans une résidence sécurisée et paisible, venez découvrir cet agréable ..."
