Ville,Type_de_Bien,Titre,Prix,Prix_m2,Surface_m2,Pro_ou_Part,Date_Annonce,URL,Description
Paris,Maison,Vente Maison à vendre Paris 18e Arrondissement (75018) 1 pièces 65 m²,739000,11369.23076923077,65.0,Particulier,2026-02-07 17:30:00,https://www.topannonces.fr/vente-maison/paris-75018/vente-maison-34-pieces-76m2/1288427284/,"Maison moderne, indépendante sur deux cotés, située dans une petite copropriété calme avec cour pavée et arborée. Beaux volumes répartis sur ..."
Paris,Maison,Vente Maison à vendre Paris 18e Arrondissement (75018) 4 pièces 65 m²,739000,11369.23076923077,65.0,Particulier,2026-02-07 17:30:00,https://www.seloger.com/26Z2UEX7KLFW/detail.htm,"Maison moderne, indépendante sur deux cotés, située dans une petite copropriété calme avec cour pavée et arborée. Beaux volumes répartis sur ..."
Paris,Maison,Vente Maison à vendre Paris 14e Arrondissement (75014) 4 pièces 75 m²,1090000,14533.333333333334,75.0,Pro,2026-02-07 15:30:00,https://www.bellesdemeures.com/annonces/vente/tt-2-tb-2-pl-48245/260376439/,"Nichée dans une impasse paisible du quartier Moulin Vert, cette maison rare combine le calme d'un environnement arboré avec la vie de quartier ..."
Paris,Maison,Vente Maison à vendre Paris 15e Arrondissement (75015) 7 pièces 186 m²,1990000,10698.924731182797,186.0,Pro,2026-02-07 14:30:00,https://luxuryestate.com/fr/p132240587-maison-de-luxe-en-vente-motte-picquet-commerce-necker,"Maison à fort potentiel à rénover - Paris 15e, Porte de Versailles Située dans le 15e arrondissement de Paris, à proximité immédiate de la ..."
Paris,Maison,Vente Maison à vendre Paris 16e Arrondissement (75016) 7 pièces 425 m²,9345000,21988.235294117647,425.0,Pro,2026-02-07 08:30:00,https://www.properstar.fr/listing/113726560,"Paris 16 - La Muette - À vendre - Hôtel Particulier - 3 chambres - Jardin - Piscine intérieure Situé dans le 16ème arrondissement de Paris, cet ..."
Paris,Maison,Vente Maison à vendre Paris 15e Arrondissement (75015) 2 pièces,355000,,,Pro,2026-02-07 03:30:00,https://www.seloger.com/260350283/detail.htm,"Immobilier.notaires® et l'office notarial de SAINT JACOB, LEFEVRE, Notaires, SELARL vous proposent : Maison / villa à vendre - PARIS 15 (75015) - - ..."
Paris,Maison,Vente Maison à vendre Paris 9e Arrondissement (75009) 6 pièces 146 m²,1790000,12260.27397260274,146.0,Pro,2026-02-06 21:30:00,https://gensdeconfiance.com/fr/ui/post/realestate__sale/f542a800-0b52-4818-9a91-41d2692a4243,"Paris IXe - Rue de Milan - Maison de 146m² - Parking - Cave Au coeur du 9e arrondissement, rue de Milan, à proximité immédiate du métro Liège et ..."
Paris,Maison,Vente Maison à vendre Paris 15e Arrondissement (75015) 2 pièces 34 m²,355000,10441.176470588236,34.0,Pro,2026-02-06 21:30:00,https://www.leboncoin.fr/ad/ventes_immobilieres/3140524384,"Immobilier.notaires® et l'office notarial de SAINT JACOB, LEFEVRE, Notaires, SELARL vous proposent : Maison / villa à vendre - PARIS 15 (75015) - - ..."
Paris,Maison,Vente Maison à vendre Paris 14e Arrondissement (75014) 3 pièces 108 m²,1090000,10092.592592592591,108.0,Pro,2026-02-06 21:30:00,https://www.maisonsetappartements.fr/ads/4173796,"À proximité immédiate d'Alésia, maison ancienne d'une surface de 108 m² habitable (75m² loi Carrez) répartie sur 3 niveaux, bénéficiant d'un ..."
Paris,Maison,Vente Maison à vendre Paris 20e Arrondissement (75020) 5 pièces 98 m²,1100000,11224.489795918367,98.0,Pro,2026-02-06 21:30:00,https://www.erafrance.com/annonces/478848,"En exclusivité dans votre agence ERA. En plein coeur du 20 arrondissement parisien, dans une petite copropriété bien entretenue, cette maison ..."
